cpf;nome;endereco;cep;email;telefone
19811421568;Mariana Costa;Al. I, 478;12161100;mariana.costa@email.com;(18)40571308, (41)261295920
27887780285;Ana Costa; Al. I, 371;33888669;fernanda.ribeiro@service.com;(70)51615603, (46)888919510
32854358038;Ana Oliveira;R. J, 583;66580913;ana.martins@mail.com;(73)45076146, (78)596601335
71485323732;Maria Silva;Av. G, 230;24262566;bruna.ribeiro@service.com;(51)85019857, (97)490527953
31322982161;Maria Almeida;Rua F, 791;25170432;fernanda.martins@service.com;(82)64573905, (98)235322929
42839767654;Fernanda Oliveira;Rua A, 943;51876950;ana.gomes@provider.com;(30)41278830, (55)837057214
58511682952;Carlos Ribeiro;Rua A, 455;16055855;bruna.almeida@email.com;(59)83358041, (15)367187170
43097386995;Bruna Gomes;Al. D, 781;38927969;fernanda.gomes@service.com;(63)68364004, (32)249907054
22344792032;Rafael Gomes;Rua A, 454;33829442;mariana.gomes@provider.com;(22)47615126, (24)957331868
46543564293;Carlos Oliveira;Rua F, 632;39952740;mariana.ribeiro@mail.com;(91)13181470, (91)886172157
34493069482;Maria Costa;Av. B, 28;89166229;fernanda.costa@email.com;(74)40563414, (12)881278480
60035295742;Rafael Martins;Al. I, 772;26067262;bruna.almeida@mail.com;(29)95131799, (25)277922002
18466691526;Mariana Gomes;R. E, 287;81183250;bruna.fernandes@mail.com;(98)60301476, (27)309568151
11129489168;Ana Gomes;Al. D, 890;36264854;joao.fernandes@provider.com;(81)81954527, (87)637806245
95846026365;Mariana Fernandes;Trav. C, 821;48040957;joao.silva@provider.com;(68)45151140, (91)813979536
92048121562;Maria Ribeiro;Al. D, 949;83176800;pedro.pereira@service.com;(77)95861832, (90)616779936
61022038379;Bruna Almeida;Al. D, 697;13751595;joao.almeida@email.com;(93)28588896, (20)747056725
58967946229;Carlos Almeida;Rua A, 501;25902324;lucas.martins@mail.com;(28)54861660, (59)622624416
12620295026;Mariana Oliveira;Rua , 464;64901352;maria.martins@service.com;(81)52895771, (64)853576524
71769956039;Ana Pereira;R. E, 494;48993728;ana.fernandes@email.com;(85)69644392, (28)994189835
